;x1;x2;x3;u;f1;f2
1;-0.01782388590231629;0.00963526609052104;0.01439492209620407;0.09983341664682815;0.0;0.0
2;0.08197093586951656;0.015294985845554249;0.006921143765815713;0.19866933079506122;0.0;0.0
3;0.27779449575198023;0.026658011727299646;0.004140021562811222;0.2955202066613396;0.0;0.0
4;0.5168972025102613;0.06430226753685542;-0.008632435833791918;0.3894183423086505;0.0;0.0
5;0.807237070052792;0.09907019564250225;-0.007896238379610569;0.479425538604203;0.0;0.0
6;1.0864166723540711;0.16914804682492393;0.004721546817470838;0.5646424733950355;0.0;0.0
7;1.4174820600475098;0.2488336370540156;0.03714900657687052;0.6442176872376911;0.0;0.0
8;1.7561405887936585;0.3513007603174995;0.022140055826020955;0.7173560908995228;0.0;0.0
9;2.074188559035255;0.45381671324912976;0.045165590408508;0.7833269096274834;0.0;0.0
10;2.403259850884628;0.5589207030689368;0.07759716658310228;0.8414709848078965;0.0;0.0
11;2.7124777358370826;0.6882234321611347;0.11700125294025454;0.8912073600614354;0.0;0.0
12;2.989144325495255;0.8105993010543133;0.1546100584347978;0.9320390859672264;0.0;0.0
13;3.244624517761105;0.926506572246756;0.2134582573394605;0.963558185417193;0.0;0.0
14;3.453729519672289;1.041396987922937;0.2806411112004785;0.9854497299884603;0.0;0.0
15;3.638286611561635;1.1493079225708813;0.3370498777875509;0.9974949866040544;0.0;0.0
16;3.7956431055961275;1.2328723959307617;0.37029719895622687;0.9995736030415051;0.0;0.0
17;3.9024940714495884;1.3343049412079373;0.4202038163369074;0.9916648104524686;0.0;0.0
18;3.991557934596546;1.4175823035880688;0.4763211104020439;0.9738476308781951;0.0;0.0
19;4.0182881645472595;1.4846506781032682;0.5311412267114186;0.9463000876874145;0.0;0.0
20;4.010230717174006;1.5358126313755542;0.5718454858442792;0.9092974268256817;0.0;0.0
21;3.9536388838762506;1.5774904839037025;0.5940700787365325;0.8632093666488737;0.0;0.0
22;3.877004885892408;1.609798254133542;0.620368378137993;0.8084964038195901;0.0;0.0
23;3.7488625695193423;1.6111402257341145;0.6660639301813788;0.74570521217672;0.0;0.0
24;3.575625690608746;1.57639845334846;0.6855067036684735;0.6754631805511506;0.0;0.0
25;3.3736035376659386;1.5558212756707426;0.7043852730420674;0.5984721441039565;0.0;0.0
26;3.1386737631796473;1.5021772386469747;0.7175847705267119;0.5155013718214642;0.0;0.0
27;2.881241644377573;1.4518746050072031;0.7324198758225933;0.4273798802338298;0.0;0.0
28;2.6037830880233797;1.3735929571292587;0.751475168773689;0.33498815015590466;0.0;0.0
29;2.2940261725452755;1.282231136261323;0.7227222546584859;0.23924932921398198;0.0;0.0
30;1.953357508850122;1.1778821004343503;0.7157296192118588;0.1411200080598672;0.0;0.0
31;1.5990028920179569;1.0681765028066503;0.6753300522026567;0.04158066243329049;0.0;0.0
32;1.2075124838391;0.9435456211648656;0.6528818230036851;-0.058374143427580086;0.0;0.0
