;x1;x2;x3;u;f1;f2
1;0.004383637245361595;-0.003389133853407117;0.0070536372410824446;0.09983341664682815;0.0;0.0
2;0.08832399850560912;-0.017653151959024203;0.00424764467212915;0.19866933079506122;0.0;0.0
3;0.27787522610135396;-0.019195638922232007;0.002906134115244343;0.2955202066613396;0.0;0.0
4;0.5032942538951531;0.014199706003319795;0.0069119021324643365;0.3894183423086505;0.0;0.0
5;0.7997534552081167;0.07857359911504289;0.017199038182210347;0.479425538604203;0.0;0.0
6;1.1195014820857099;0.13028247266831622;0.028456885282366902;0.5646424733950355;0.0;0.0
7;1.4438237042481177;0.2081096589141349;0.03829112884545076;0.6442176872376911;0.0;0.0
8;1.7672175111626656;0.31840705073647746;0.06507893443371819;0.7173560908995228;0.0;0.0
9;2.0829991400928294;0.42709255658092127;0.07265211670471018;0.7833269096274834;0.0;0.0
10;2.3925110637441676;0.55113285086309;0.10977156012646631;0.8414709848078965;0.0;0.0
11;2.6941377038432197;0.6664461708855288;0.12679618594362543;0.8912073600614354;0.0;0.0
12;2.9826649326419217;0.8004099285957287;0.16064866124823138;0.9320390859672264;0.0;0.0
13;3.2411753669471053;0.9123779165951369;0.19472730275400985;0.963558185417193;0.0;0.0
14;3.4840011837052347;1.0344054818719244;0.23626769397167596;0.9854497299884603;0.0;0.0
15;3.6725744488313743;1.1525000294301997;0.29246110623877636;0.9974949866040544;0.0;0.0
16;3.8167646376245106;1.2466708171507972;0.33877919270836043;0.9995736030415051;0.0;0.0
17;3.935769155547759;1.3624543526249788;0.40873611181597247;0.9916648104524686;0.0;0.0
18;4.004255084067146;1.4419393974004868;0.4662509076557208;0.9738476308781951;0.0;0.0
19;4.04037631144526;1.508128290263294;0.5301715495673824;0.9463000876874145;0.0;0.0
20;4.02488284529885;1.5483295747681185;0.5743761970493066;0.9092974268256817;0.0;0.0
21;3.981600201496927;1.5878689529761107;0.6122647631213771;0.8632093666488737;0.0;0.0
