;x1;x2;x3;x4;u;f1;f2
1;0.0019821089481511975;0.004048919186924568;0.00036783666560799566;0.017892655411045524;0.09983341664682815;0.0;0.0
2;0.1078146958629861;0.12448538796606089;0.004677056690182552;0.010629317298615337;0.19866933079506122;0.0;0.0
3;0.302712731917154;0.2838632811983308;0.014329306580939644;0.00704701627479204;0.2955202066613396;0.0;0.0
4;0.537859878567708;0.5133473669173078;0.03957755100091141;0.04595874515216941;0.3894183423086505;0.0;0.0
5;0.8134080712231205;0.7977921390785303;0.09858010961495187;0.08807971538225404;0.479425538604203;0.0;0.0
6;1.141012093988416;1.09978143034609;0.1404510801199336;0.14593520152985284;0.5646424733950355;0.0;0.0
7;1.4773691416522186;1.4495870770998418;0.22098425605509048;0.22469113274823488;0.6442176872376911;0.0;0.0
8;1.8075838648178992;1.7985799121785848;0.32436322917443816;0.3199290750275605;0.7173560908995228;0.0;0.0
9;2.1611761700477046;2.156703582727166;0.43999932985100676;0.43666188990564625;0.7833269096274834;0.0;0.0
10;2.5103782846486933;2.494429001006843;0.563352602926641;0.570839182779548;0.8414709848078965;0.0;0.0
11;2.8522878196448134;2.8265001650394024;0.7235109577191596;0.6943530516990917;0.8912073600614354;0.0;0.0
12;3.1862895352527976;3.158379890756165;0.8720983635718076;0.8348247033845541;0.9320390859672264;0.0;0.0
13;3.4777798797374326;3.4706997106207207;0.9669392877951244;0.9680193047362012;0.963558185417193;0.0;0.0
14;3.764119119514353;3.749282065486573;1.154733619373001;1.1255273744954373;0.9854497299884603;0.0;0.0
15;3.9873103269359347;3.988498583807137;1.2957575758716633;1.2799713872261906;0.9974949866040544;0.0;0.0
16;4.16856301430465;4.192426445715661;1.4278171004490177;1.4107732368015284;0.9995736030415051;0.0;0.0
17;4.3329331766115935;4.364126163099173;1.5566055090307827;1.5676265574330617;0.9916648104524686;0.0;0.0
18;4.446597629168782;4.497901568151041;1.6736947548355514;1.6762523511741574;0.9738476308781951;0.0;0.0
19;4.5225565148829165;4.570495094581209;1.7651466036616965;1.7752265565520786;0.9463000876874145;0.0;0.0
20;4.566940422402238;4.602468164720109;1.860006156813852;1.8766991606577859;0.9092974268256817;0.0;0.0
21;4.554192464773144;4.603328641551984;1.9496938770953023;1.965034273950129;0.8632093666488737;0.0;0.0
22;4.513105368156365;4.540688790853893;2.0217007722624003;2.0213149795253997;0.8084964038195901;0.0;0.0
23;4.403618626723971;4.422326298369862;2.0658442219857482;2.060928554575295;0.74570521217672;0.0;0.0
24;4.281964331991398;4.288225147664837;2.0811798338945704;2.1067876169787287;0.6754631805511506;0.0;0.0
25;4.1064428951833865;4.105330475760118;2.111314104359497;2.1117718606536204;0.5984721441039565;0.0;0.0
26;3.8775969786668165;3.8809165532203;2.1077494843466003;2.074451321950031;0.5155013718214642;0.0;0.0
27;3.615123522653269;3.62755713574281;2.0672445181320693;2.0513075242078003;0.4273798802338298;0.0;0.0
28;3.3240211961953436;3.348645819058143;2.011649694697259;2.027768487059152;0.33498815015590466;0.0;0.0
29;2.9716069816427373;3.025958524390575;1.9582369077728317;1.9237843616248531;0.23924932921398198;0.0;0.0
30;2.6192631447360313;2.6603969771282303;1.8548485775016257;1.8440235804988543;0.1411200080598672;0.0;0.0
31;2.246635469851832;2.2767893115471693;1.7165193960113305;1.7435128021855548;0.04158066243329049;0.0;0.0
32;1.8444523473154164;1.8593341083106112;1.5940626618219766;1.6279683545224475;-0.058374143427580086;0.0;0.0
33;1.4325671975398675;1.4360777144260763;1.4740559692643607;1.4634649245171836;-0.15774569414324865;0.0;0.0
34;0.9887082818135046;0.9813478151591302;1.2978919316383302;1.33120927831029;-0.25554110202683167;0.0;0.0
35;0.5357095477958311;0.5224247175702612;1.1546080312800273;1.1558521255566487;-0.35078322768961984;0.0;0.0
36;0.06702201481393238;0.05688044102471573;0.9769770254992558;0.9888500110295221;-0.44252044329485246;0.0;0.0
37;-0.403892921291989;-0.37607714471754666;0.8053636758729474;0.8155268243085105;-0.5298361409084934;0.0;0.0
38;-0.8385239788883363;-0.8270661030461313;0.6047291793407095;0.6325749112913689;-0.6118578909427193;0.0;0.0
39;-1.2754114003913108;-1.2721714241745574;0.41694335794286336;0.4057082764467147;-0.6877661591839741;0.0;0.0
40;-1.7003146042867838;-1.6890163699432412;0.19402281262320753;0.18628682569571178;-0.7568024953079282;0.0;0.0
41;-2.1140851387032584;-2.108523205362993;0.001752797739188211;-0.025606551012265527;-0.8182771110644108;0.0;0.0
42;-2.499500384860677;-2.5068599212102654;-0.2291635821127209;-0.20326307825614917;-0.8715757724135882;0.0;0.0
43;-2.876136097534311;-2.895696004094545;-0.4317177118652639;-0.4278071959594183;-0.9161659367494549;0.0;0.0
44;-3.192052665748665;-3.2293821510166363;-0.6200236712193897;-0.6437892584319376;-0.951602073889516;0.0;0.0
45;-3.5040517953175465;-3.541595387296383;-0.8044063855997393;-0.8255038400697464;-0.977530117665097;0.0;0.0
46;-3.7790629266936886;-3.8075117047930513;-0.9953005606623876;-0.9935772422355789;-0.9936910036334645;0.0;0.0
47;-4.017209030462717;-4.018821458869596;-1.1816641585171108;-1.1960106391725234;-0.9999232575641008;0.0;0.0
48;-4.199580798239864;-4.213040683217728;-1.3579451958095032;-1.370470088180178;-0.9961646088358406;0.0;0.0
49;-4.360058135243983;-4.3682962661755385;-1.5342718084396159;-1.5126841804452567;-0.9824526126243325;0.0;0.0
50;-4.4614497028635585;-4.481179084044224;-1.6607460483823406;-1.6334077887316258;-0.9589242746631385;0.0;0.0
51;-4.528881190452574;-4.545908292255221;-1.7258430495704065;-1.74850137644361;-0.9258146823277321;0.0;0.0
52;-4.551663333964126;-4.592954597184707;-1.833670664657353;-1.8269106418920993;-0.8834546557201531;0.0;0.0
53;-4.526940598486878;-4.54989284737547;-1.931319017434399;-1.9368501519424433;-0.8322674422239008;0.0;0.0
54;-4.457808672312114;-4.473246871400965;-1.9928297275145372;-2.004607723622757;-0.7727644875559871;0.0;0.0
55;-4.330748872604105;-4.3454052791808015;-2.031999175218343;-2.0512628834524635;-0.7055403255703919;0.0;0.0
56;-4.146246523396633;-4.188019798678527;-2.0677863519430963;-2.059399140431979;-0.6312666378723208;0.0;0.0
57;-3.9559490966822417;-3.9906537896011565;-2.0728980744119627;-2.089523880311428;-0.5506855425976376;0.0;0.0
58;-3.71412703266306;-3.723114579026154;-2.0432664891617156;-2.051920804655918;-0.4646021794137566;0.0;0.0
59;-3.442324391858712;-3.434821436341843;-1.9982184653109598;-2.0259336701170962;-0.373876664830236;0.0;0.0
60;-3.1157333801687175;-3.1210403276534064;-1.9500537302896308;-1.9575339528457942;-0.27941549819892586;0.0;0.0
61;-2.783939455886321;-2.771203108703722;-1.8808615752031153;-1.8656911801678207;-0.18216250427209502;0.0;0.0
62;-2.3950995647460624;-2.405580350041361;-1.7833361200167837;-1.7893788527447783;-0.0830894028174964;0.0;0.0
63;-2.0111107007732;-1.9951203885834787;-1.66750585138991;-1.6645963234497385;0.0168139004843506;0.0;0.0
64;-1.5923765748835017;-1.5795221225571199;-1.5476192469270589;-1.525939955492241;0.11654920485049364;0.0;0.0
65;-1.166710687405168;-1.1528462184347559;-1.3836398806825714;-1.3779328981990824;0.21511998808781552;0.0;0.0
66;-0.7075797258472607;-0.6947400449951353;-1.2262635236644006;-1.1985263290700858;0.3115413635133787;0.0;0.0
67;-0.2517064949596051;-0.25450663124721185;-1.0163116815859712;-1.043756463368526;0.4048499206165983;0.0;0.0
68;0.21110667385172455;0.189026391457507;-0.8415322785397863;-0.8579390869003769;0.49411335113860894;0.0;0.0
69;0.6778256796225299;0.6467735232067751;-0.6322875989224734;-0.6750710213261958;0.5784397643882001;0.0;0.0
70;1.1103830098572922;1.1082540386531732;-0.45896193490306025;-0.45625063426892365;0.6569865987187891;0.0;0.0
71;1.52572995446223;1.5249972753920993;-0.23554378358595723;-0.26044812116609073;0.7289690401258765;0.0;0.0
72;1.9503588938278806;1.942832480792731;-0.05587818277285067;-0.03740800399277219;0.7936678638491531;0.0;0.0
73;2.344445253435889;2.337015688615132;0.14517900165588446;0.15442337098662495;0.8504366206285648;0.0;0.0
74;2.725533381231266;2.7139288354700937;0.3876177167706023;0.3557887398912042;0.8987080958116269;0.0;0.0
75;3.080999326836491;3.07570353393081;0.5599318480078284;0.5833038225141041;0.9379999767747389;0.0;0.0
76;3.403655830539484;3.4021820503895785;0.7505314478359757;0.766332036567805;0.9679196720314865;0.0;0.0
77;3.6802035359918146;3.6739291775124183;0.9469591008124006;0.964486981780937;0.9881682338770004;0.0;0.0
78;3.9268141322892895;3.9096054431234784;1.1427204175670462;1.128072310477739;0.998543345374605;0.0;0.0
79;4.154364917258365;4.136001891070148;1.2993986438645495;1.3150677436676406;0.998941341839772;0.0;0.0
80;4.315412586042097;4.3134222010151735;1.4467624743725576;1.4885291204387485;0.9893582466233818;0.0;0.0
81;4.471178525797718;4.418700799386633;1.6194816229217632;1.6143999130460434;0.9698898108450863;0.0;0.0
82;4.545269048805304;4.510970747059968;1.743742606040104;1.7086130921288292;0.9407305566797726;0.0;0.0
83;4.582291410929173;4.537390330703533;1.8163795780649614;1.8240088185196826;0.9021718337562933;0.0;0.0
84;4.559764827093563;4.5246788612595275;1.9145637462356226;1.9226153255347063;0.8545989080882804;0.0;0.0
85;4.503175541182805;4.471230661321027;1.9824432589323402;1.9937369856373603;0.7984871126234903;0.0;0.0
86;4.374259166734591;4.368247295926158;2.0414140153107425;2.031434722311273;0.7343970978741133;0.0;0.0
87;4.233073016751862;4.240834174594207;2.0531980762408297;2.0898930230032637;0.662969230082182;0.0;0.0
88;4.036114473719017;4.045592412211285;2.072581350609372;2.095863073057286;0.5849171928917617;0.0;0.0
89;3.8022673305449888;3.814341785673775;2.0691825017758974;2.059233998585391;0.5010208564578846;0.0;0.0
90;3.542695454039033;3.545537555557558;2.026111630852884;2.033312922799399;0.4121184852417566;0.0;0.0
91;3.2542694212459122;3.2494573316619246;1.9720127439713726;1.9752312939694412;0.3190983623493521;0.0;0.0
92;2.9080377060241105;2.9098772737890393;1.9192577783401257;1.9011066250472624;0.22288991410024592;0.0;0.0
93;2.52792041258088;2.5614623403310874;1.8196278978752887;1.8091326989724505;0.1244544235070617;0.0;0.0
94;2.144598899795212;2.18511221757372;1.7075329950591847;1.7148972833222111;0.024775425453357765;0.0;0.0
95;1.7620312379120193;1.7702883302520391;1.570075741147749;1.6116695861647274;-0.0751511204618093;0.0;0.0
96;1.3334062761163803;1.337424771611055;1.4587823067582377;1.4642834272115444;-0.1743267812229814;0.0;0.0
97;0.9018020669412972;0.8772146951823055;1.314958808122232;1.3170265832078145;-0.2717606264109442;0.0;0.0
98;0.4383787010170348;0.425796116094031;1.16136447248343;1.1626956266891662;-0.3664791292519284;0.0;0.0
99;-0.016517383462765767;-0.033939344833597396;0.9630520198780195;0.9658877097721648;-0.45753589377532133;0.0;0.0
100;-0.4625211226946742;-0.5027157333228962;0.7824242576842547;0.757323668684384;-0.5440211108893698;0.0;0.0
101;-0.9126404750616056;-0.9464474786639807;0.5778164129932704;0.5692591642552134;-0.6250706488928834;0.0;0.0
102;-1.3507927802065438;-1.3720018295974095;0.366646898676494;0.37023146436149723;-0.6998746875935437;0.0;0.0
103;-1.7908115149338446;-1.8055205142032085;0.16629308496512368;0.17468311703212433;-0.7676858097635825;0.0;0.0
104;-2.200068050696389;-2.2339867449652497;-0.043322861074563374;-0.041660436272462964;-0.8278264690856537;0.0;0.0
105;-2.570421656866987;-2.599384222924007;-0.2653324099861716;-0.26629855447702605;-0.87969575997167;0.0;0.0
106;-2.9346989524793523;-2.9729148160725725;-0.4554576866827561;-0.46896302041722593;-0.9227754216128073;0.0;0.0
107;-3.269329874612726;-3.2957310604675043;-0.6727863242214895;-0.6662867361560614;-0.9566350162701884;0.0;0.0
108;-3.572087254780252;-3.5902750224805535;-0.8896886776069515;-0.838806435461218;-0.9809362300664916;0.0;0.0
109;-3.829689492442614;-3.8584682177927925;-1.0627365875665338;-1.03574204270637;-0.9954362533063774;0.0;0.0
110;-4.038801579940515;-4.090571084045503;-1.2046219798344417;-1.2168689061298295;-0.9999902065507035;0.0;0.0
111;-4.237437094360247;-4.259840000701466;-1.3859669529190712;-1.3687672682907808;-0.9945525882039891;0.0;0.0
112;-4.3998525537944495;-4.409254827060851;-1.5386682268564165;-1.5298108033819724;-0.979177729151317;0.0;0.0
113;-4.497448501402592;-4.5130746540145275;-1.660628816449025;-1.6872660940735993;-0.954019249902089;0.0;0.0
114;-4.5543619571884;-4.573568195774423;-1.7822051986413894;-1.7857059288588846;-0.9193285256646757;0.0;0.0
115;-4.55284057145169;-4.590207808925592;-1.9001214772094521;-1.90044226788929;-0.8754521746884285;0.0;0.0
116;-4.526541463685997;-4.567142010577786;-1.9700907016532945;-1.9938004937901992;-0.8228285949687079;0.0;0.0
117;-4.439608304902342;-4.463351617602506;-2.029772780954316;-2.061719472456335;-0.7619835839190321;0.0;0.0
118;-4.325609788631055;-4.349310024481973;-2.066247532789268;-2.071217986601658;-0.6935250847771224;0.0;0.0
119;-4.171967724753447;-4.172027506249453;-2.1087775633156323;-2.103713326539241;-0.6181371122370333;0.0;0.0
120;-3.9556501864704186;-3.93365611169902;-2.108368299896269;-2.075547649295461;-0.5365729180004349;0.0;0.0
121;-3.6900051746745794;-3.6797147710085274;-2.0724185948043785;-2.0590274599412743;-0.44964746453459986;0.0;0.0
122;-3.4162620188968935;-3.377605514910917;-2.0245088390190187;-2.0228920650941276;-0.35822928223682704;0.0;0.0
123;-3.095861332268521;-3.065395172962955;-1.9735791237117604;-1.9479442471507897;-0.26323179136580094;0.0;0.0
124;-2.7495363346005797;-2.719017799224459;-1.8843216418201154;-1.8635911135068;-0.1656041754483094;0.0;0.0
125;-2.3767222417168776;-2.313453860965372;-1.7738485692419101;-1.7782159150609183;-0.06632189735120068;0.0;0.0
126;-1.9724585528115464;-1.9142514315337844;-1.638052978285595;-1.639788887335855;0.03362304722113847;0.0;0.0
127;-1.5469661020004646;-1.5050679829416371;-1.4880504290504506;-1.4976659717568026;0.13323204141994396;0.0;0.0
128;-1.1069719612287487;-1.0819703046060085;-1.3417105410904089;-1.3408472410652144;0.23150982510153895;0.0;0.0
129;-0.6544738638767345;-0.6416511203219097;-1.1530280733124967;-1.1917591179686136;0.32747443913769303;0.0;0.0
130;-0.19232189658248888;-0.20865222085413887;-0.9809543286557129;-1.0262195943494863;0.4201670368266409;0.0;0.0
131;0.2726247381274914;0.2462439517149561;-0.8311012337611654;-0.8253281364032786;0.5086614643723752;0.0;0.0
132;0.7334950005541574;0.7093259960922036;-0.6314020543300196;-0.6410090859706709;0.5920735147072245;0.0;0.0
133;1.1878063093537368;1.1575193548814608;-0.4442664262423994;-0.43774423856206635;0.6695697621966024;0.0;0.0
134;1.6233640993765575;1.5779882042710647;-0.23218205045067272;-0.24111158669858157;0.7403758899524486;0.0;0.0
135;2.04259046376088;2.004786358708818;-0.029154357615739535;-0.04210217320541204;0.803784426551621;0.0;0.0
136;2.418283093143104;2.4200477682014876;0.15851287671412478;0.20980586483281144;0.8591618148564968;0.0;0.0
137;2.7973830233210655;2.8005445164959903;0.38372204923296904;0.39543804724907083;0.9059547423084626;0.0;0.0
138;3.143462266236615;3.1277391879899588;0.5969490527592628;0.6171907090207318;0.9436956694441048;0.0;0.0
139;3.462633046480129;3.4413028273280903;0.7880269676112832;0.8063655587092464;0.9720075013949759;0.0;0.0
140;3.747544797484919;3.7294839528708894;0.9883583157251394;0.9717571119581423;0.9906073556948704;0.0;0.0
141;3.9861582647695166;3.966743744950014;1.1437729178104694;1.1777460765242727;0.9993093887479177;0.0;0.0
142;4.17851084136642;4.1902403556098955;1.313464940619768;1.3163048509053104;0.9980266527163616;0.0;0.0
143;4.3446368754277485;4.347636669658941;1.4709306134924778;1.4866474114161903;0.9867719642746133;0.0;0.0
144;4.45509653642652;4.45192013745059;1.6429216111421616;1.6181618023141848;0.9656577765492774;0.0;0.0
145;4.529789066573947;4.529443963000694;1.7471811258491594;1.7533038425488061;0.934895055524683;0.0;0.0
146;4.571170964654556;4.571272693129026;1.8462986777021209;1.8449798302848308;0.8947911721405034;0.0;0.0
147;4.554553423007979;4.543362454176547;1.9238886547781722;1.9365460165915291;0.8457468311429334;0.0;0.0
148;4.495388858600542;4.478970572426908;2.011128926068528;1.9926339895351486;0.7882520673753163;0.0;0.0
149;4.383009892755675;4.370090007728788;2.046193461588178;2.0517393822443473;0.722881349511976;0.0;0.0
150;4.220475068873602;4.232308299637808;2.0765106515437934;2.088607765487656;0.6502878401571168;0.0;0.0
151;4.024240315101551;4.034913282467475;2.066993532448897;2.0793516469103075;0.5711968696599872;0.0;0.0
152;3.7890073007641574;3.8031868873853942;2.061214126814352;2.065774029905884;0.4863986888537981;0.0;0.0
153;3.5333896239691818;3.5404707994124323;2.035398190971586;2.030745076206649;0.39674057313061206;0.0;0.0
154;3.2044030025125485;3.218431892285669;1.9553522855762466;1.9896367686670753;0.30311835674570226;0.0;0.0
155;2.876386399668616;2.891502501341143;1.8937744751180317;1.8986467171284909;0.2064674819377966;0.0;0.0
156;2.5016505583487003;2.5157033624699996;1.8264070850505059;1.7978537720832106;0.1077536522994423;0.0;0.0
157;2.099955205293954;2.123650232575966;1.7017419007478494;1.6967815023765171;0.007963183785935567;0.0;0.0
158;1.6992683225858252;1.6930962493799877;1.5630432900787723;1.5771771886060424;-0.09190685022768164;0.0;0.0
159;1.2751737618826504;1.2634599553000596;1.4255967372340597;1.3991682131510217;-0.19085858137418937;0.0;0.0
160;0.8340063321383966;0.8248766882705547;1.2783553523705897;1.2656507499112004;-0.2879033166650653;0.0;0.0
161;0.3701747879030827;0.37431996888455865;1.1033881387325035;1.0921017542635325;-0.3820714171840091;0.0;0.0
162;-0.07749704257746598;-0.08178338435712712;0.9290414382928375;0.9165059197156298;-0.47242198639846616;0.0;0.0
163;-0.5178150532379333;-0.5178498085690515;0.6934569152570159;0.7368989331789186;-0.5580522712867794;0.0;0.0
164;-0.9750279485037081;-0.9572574020208497;0.5197640880159864;0.4969775919225703;-0.6381066823479502;0.0;0.0
165;-1.4155471773728117;-1.3926808700424784;0.30520408235820784;0.3061162599073555;-0.711785342369123;0.0;0.0
166;-1.826895004719857;-1.8255048708130692;0.10234288624380694;0.08995516100115875;-0.7783520785342984;0.0;0.0
167;-2.23851606582533;-2.2285380292151062;-0.10046496911029695;-0.12410253580695034;-0.8371417780197468;0.0;0.0
168;-2.622870299390783;-2.6366057480036322;-0.3328306098453226;-0.3116369639541797;-0.8875670335815046;0.0;0.0
169;-2.9857069244224266;-3.0022930156464285;-0.5221750734296382;-0.5194093887599284;-0.9291240127343697;0.0;0.0
170;-3.318722157762278;-3.3261845757626434;-0.6951422770211326;-0.7215246534048281;-0.9613974918795568;0.0;0.0
171;-3.6148209664112096;-3.6185178921702974;-0.9046000034030333;-0.9029096262014256;-0.9840650050816434;0.0;0.0
172;-3.8892320272550154;-3.8703168563345356;-1.0921289069741769;-1.0914805624730644;-0.9969000660415961;0.0;0.0
173;-4.106559518477174;-4.098579721308915;-1.273004863006744;-1.25247639249559;-0.9997744310730111;0.0;0.0
174;-4.273861254105549;-4.291179874680788;-1.4125501596728351;-1.4362466397255105;-0.9926593804706327;0.0;0.0
175;-4.409441913569439;-4.429619244946889;-1.5550181409990744;-1.5711415207558383;-0.9756260054681576;0.0;0.0
176;-4.504207214309351;-4.5144191354876195;-1.6774182142841962;-1.6762372643249392;-0.948844497918124;0.0;0.0
177;-4.544388201709299;-4.5657477466290555;-1.7865025375508012;-1.811602732322747;-0.9125824497911845;0.0;0.0
178;-4.557836549920536;-4.555256490286665;-1.873594443465694;-1.89521677577247;-0.8672021794855813;0.0;0.0
179;-4.520647491509705;-4.516602824169855;-1.959491538705565;-1.9567514643684616;-0.8131571116614864;0.0;0.0
180;-4.438738924972529;-4.437735989544381;-2.019968433860957;-2.0087277497221727;-0.750987246771676;0.0;0.0
181;-4.296385234674231;-4.301178961648498;-2.0496539156504108;-2.0381244887807313;-0.6813137655554999;0.0;0.0
182;-4.126943790581755;-4.105934193784115;-2.068597828343027;-2.0822834023602423;-0.6048328224062841;0.0;0.0
183;-3.9025464741648417;-3.889580089871786;-2.057797727919925;-2.0671852630215475;-0.5223085896267315;0.0;0.0
184;-3.6489823917318267;-3.6406798057591554;-2.0100251225548824;-2.0444077467822166;-0.43456562207189353;0.0;0.0
185;-3.345467918840641;-3.3401907475140797;-1.986466532572331;-1.9941475422473092;-0.34248061846961253;0.0;0.0
186;-3.030524771586746;-3.003538436930154;-1.9176839234372045;-1.9123841776712733;-0.2469736617366209;0.0;0.0
187;-2.6866614185443867;-2.641410440986094;-1.8210481593508994;-1.8138537051205579;-0.1489990258141988;0.0;0.0
188;-2.2998792547778324;-2.276249349906185;-1.715112203564134;-1.7155560531218106;-0.04953564087836742;0.0;0.0
189;-1.9030651717888678;-1.8563535638721174;-1.6066035472080518;-1.6052611443880274;0.05042268780681477;0.0;0.0
190;-1.4643327678516145;-1.4095427428863347;-1.4735973682612176;-1.477835524491211;0.14987720966295234;0.0;0.0
191;-1.0222958537844937;-0.9755516586221997;-1.3315001376095066;-1.323255791312072;0.24783420798295983;0.0;0.0
192;-0.57765129066003;-0.530211324600696;-1.1539153332622512;-1.1654707759407903;0.3433149288198987;0.0;0.0
193;-0.12202713196541354;-0.08131060669223827;-0.9821732898804068;-0.9861930696513799;0.4353653603728932;0.0;0.0
194;0.3410620626894207;0.37589383201485094;-0.8025378397509478;-0.8010312387411787;0.5230657651576994;0.0;0.0
195;0.8123201872630087;0.833744154489361;-0.5954803286544519;-0.5959202300314013;0.605539869719601;0.0;0.0
196;1.2475031332547344;1.2693876538171145;-0.4165546443225224;-0.37362162113475106;0.6819636200681356;0.0;0.0
197;1.6936020226154405;1.7005391142242579;-0.1994482339873806;-0.2080406200167293;0.7515734153521506;0.0;0.0
198;2.082070723246801;2.0977164438172236;-0.022469656312445546;-0.005059286716860345;0.8136737375071054;0.0;0.0
199;2.4787371136204746;2.487307350812503;0.18800617735534852;0.1999807345357742;0.8676441006416691;0.0;0.0
