;x1;x2;x3;x4;u;f1;f2
1;0.013988105236493123;-0.01749607000142067;0.01606215201512707;-0.018558014975681107;0.09983341664682815;0.0;0.0
2;0.10165206743583773;0.08407351317287574;0.02260858669890309;0.001797896963892303;0.19866933079506122;0.0;0.0
3;0.2825218789820667;0.2919766143550206;0.023385102266250526;0.020243625214565616;0.2955202066613396;0.0;0.0
4;0.5118776193389012;0.5331694498420593;0.05252305187123641;0.060847371631026825;0.3894183423086505;0.0;0.0
5;0.7736304680387354;0.8122692404650101;0.08754501794023489;0.09148776103698311;0.479425538604203;0.0;0.0
6;1.0846920362655994;1.13445506202268;0.1401777566649967;0.1375607920247295;0.5646424733950355;0.0;0.0
7;1.4318394366047722;1.465764447086125;0.22194269129887548;0.23189588385286178;0.6442176872376911;0.0;0.0
8;1.786651064659246;1.8008527222981805;0.32997846032769185;0.3275284523434304;0.7173560908995228;0.0;0.0
9;2.1448133208324753;2.1520181195617765;0.4146397428195031;0.440892559105873;0.7833269096274834;0.0;0.0
10;2.497511972505568;2.5154081485910456;0.5705127860510593;0.5817038766436072;0.8414709848078965;0.0;0.0
11;2.8275308057835646;2.86302581477396;0.7106590846088296;0.7172059633037022;0.8912073600614354;0.0;0.0
12;3.153936258951191;3.1757733735323126;0.8633376123112265;0.8896713831933868;0.9320390859672264;0.0;0.0
13;3.451694463166598;3.454865048985321;1.0190661510253751;1.021173126408189;0.963558185417193;0.0;0.0
14;3.744130879957938;3.7182072164317037;1.1620028241465854;1.1763153689864831;0.9854497299884603;0.0;0.0
15;3.989044527866436;3.987902246448575;1.30989965762138;1.3104840442210506;0.9974949866040544;0.0;0.0
16;4.178592010602347;4.1858374754136785;1.4430401233525756;1.441120171332776;0.9995736030415051;0.0;0.0
17;4.331528523024069;4.356030385757657;1.5972618722134289;1.549908593638998;0.9916648104524686;0.0;0.0
18;4.446505369395987;4.48259246285707;1.674585309679316;1.705616985658138;0.9738476308781951;0.0;0.0
19;4.521323978927973;4.551045244800182;1.8058374072681231;1.8036033793669728;0.9463000876874145;0.0;0.0
20;4.576415626817784;4.592139458636554;1.9092085610327716;1.887924135273757;0.9092974268256817;0.0;0.0
